	TF BTL Small Studio-L		
Frequency (Hz)	Magnitude (dB)	Phase (degrees)	Coherence
27187.500000	-4.71	-1.53	0.99
27375.000000	-4.89	-0.46	0.99
27562.500000	-5.07	0.65	0.99
27750.000000	-5.25	1.79	0.99
27937.500000	-5.43	2.97	0.98
28125.000000	-5.61	4.19	0.99
28312.500000	-5.80	5.45	0.99
28500.000000	-5.98	6.75	0.99
28687.500000	-6.15	8.10	0.99
28875.000000	-6.33	9.48	0.99
29062.500000	-6.50	10.90	0.99
29250.000000	-6.67	12.35	0.99
29437.500000	-6.84	13.84	0.99
29625.000000	-7.00	15.35	0.99
29812.500000	-7.16	16.89	0.99
30000.000000	-7.32	18.46	0.99
30187.500000	-7.47	20.04	0.99
30375.000000	-7.62	21.63	0.98
30562.500000	-7.76	23.22	0.99
30750.000000	-7.90	24.82	0.99
30937.500000	-8.04	26.40	0.99
31125.000000	-8.18	27.97	1.00
31312.500000	-8.31	29.52	1.00
31500.000000	-8.44	31.05	0.99
31687.500000	-8.57	32.55	0.99
31875.000000	-8.69	34.02	0.99
32062.500000	-8.82	35.45	0.99
32250.000000	-8.94	36.85	0.99
32437.500000	-9.07	38.21	0.99
32625.000000	-9.20	39.53	0.99
32812.500000	-9.32	40.82	0.99
33000.000000	-9.45	42.08	0.99
33187.500000	-9.58	43.30	1.00
33375.000000	-9.71	44.49	0.99
33562.500000	-9.84	45.65	0.99
33750.000000	-9.98	46.78	0.99
33937.500000	-10.11	47.89	0.99
34125.000000	-10.25	48.98	0.98
34312.500000	-10.38	50.05	0.98
34500.000000	-10.52	51.10	0.98
34687.500000	-10.66	52.13	0.98
34875.000000	-10.80	53.14	0.99
35062.500000	-10.94	54.14	0.99
35250.000000	-11.08	55.13	0.99
35437.500000	-11.22	56.10	0.99
35625.000000	-11.36	57.05	0.99
35812.500000	-11.49	57.99	0.99
36000.000000	-11.63	58.91	0.98
36187.500000	-11.77	59.82	0.98
36375.000000	-11.90	60.70	0.98
36562.500000	-12.04	61.57	0.98
36750.000000	-12.17	62.42	0.99
36937.500000	-12.30	63.24	0.98
37125.000000	-12.43	64.04	0.98
37312.500000	-12.56	64.81	0.98
37500.000000	-12.69	65.56	0.98
37687.500000	-12.82	66.28	0.98
37875.000000	-12.94	66.97	0.99
38062.500000	-13.07	67.64	0.98
38250.000000	-13.19	68.27	0.98
38437.500000	-13.31	68.90	0.98
38625.000000	-13.45	69.54	0.99
38812.500000	-13.58	70.17	0.98
39000.000000	-13.73	70.80	0.98
39187.500000	-13.88	71.41	0.99
39375.000000	-14.04	72.01	0.99
39562.500000	-14.20	72.57	0.98
